;DER_mass_MMC;DER_mass_transverse_met_lep;DER_mass_vis;DER_pt_h;DER_deltaeta_jet_jet;DER_mass_jet_jet;DER_prodeta_jet_jet;DER_deltar_tau_lep;DER_pt_tot;DER_sum_pt;DER_pt_ratio_lep_tau;DER_met_phi_centrality;DER_lep_eta_centrality;PRI_tau_pt;PRI_tau_eta;PRI_tau_phi;PRI_lep_pt;PRI_lep_eta;PRI_lep_phi;PRI_met;PRI_met_phi;PRI_met_sumet;PRI_jet_num;PRI_jet_leading_pt;PRI_jet_leading_eta;PRI_jet_leading_phi;PRI_jet_subleading_pt;PRI_jet_subleading_eta;PRI_jet_subleading_phi;PRI_jet_all_pt
DER_mass_MMC;1.0 0.0;-4.26481413407e-05 0.987776242629;-0.00529289333616 0.0572472199404;-0.00088300823784 0.751084540481;-0.0110695794598 0.02668655921;-0.00938942899624 0.0601491598349;0.00434144743258 0.38478552167;-0.00329670133623 0.236293699452;0.00190414352726 0.493949803637;0.00128196495106 0.645135894732;-0.000580676494058 0.834759945441;2.62887394199e-05 0.992464971417;-0.00873912495754 0.0802033977502;-0.00424629841323 0.127150379917;-0.000720988557287 0.795630550259;-0.000884873188246 0.750576272018;-0.00343926345874 0.216638647996;-0.00335261071612 0.228440228804;-0.0067238477026 0.0157142792778;0.000747212352433 0.788370927991;0.00495151235422 0.0752759585506;0.000916739017739 0.741908539581;0.00181488286848 0.514417741497;-0.000883050733646 0.791177369599;0.00384575236338 0.248848920813;-0.00424794945529 0.202752140391;-0.00573798538222 0.250684216133;0.00486586305922 0.330008688537;0.00576071887066 0.248811821826;0.00314775699792 0.258141469558
DER_mass_transverse_met_lep;-4.26481413407e-05 0.987776242629;1.0 0.0;0.219452375222 0.0;-0.25693426994 0.0;0.00276349300536 0.580112074625;0.0015544367144 0.755663184047;-0.00218947682404 0.661162332333;0.0841388450588 7.0918520419e-256;-0.0560404716851 2.00213699378e-114;-0.132375357698 0.0;0.344522308816 0.0;-0.423895654177 0.0;0.00294629861307 0.555313441825;-0.0914884539258 2.48435761564e-302;-0.00133818585548 0.587494775361;-0.0003628147133 0.88307144944;0.351103513741 0.0;-0.00711152170435 0.00394052924928;0.00225378605715 0.360909112153;0.258513821498 0.0;-0.0130833397281 1.13347095204e-07;-0.161849511367 0.0;-0.214704259909 0.0;0.00456169483733 0.171366128217;-0.00361266347114 0.278694131119;0.000421366364529 0.899457773844;0.00255588598674 0.608888825116;-0.00913604185079 0.067404079941;0.00777873118388 0.119414146728;-0.215733820341 0.0
DER_mass_vis;-0.00529289333616 0.0572472199404;0.219452375222 0.0;1.0 0.0;-0.0253570264595 8.60036891839e-25;-0.001963323914 0.694293214256;0.00238446803765 0.633117082715;-0.00349732231379 0.483848362623;0.65309570056 0.0;0.0073933907675 0.00272515319874;0.128450378741 0.0;0.126233384498 0.0;-0.069236639799 9.61473218674e-174;-0.00901666276355 0.0710636765105;0.33518365419 0.0;0.00286378914305 0.245675821918;-0.00520844860883 0.034737986869;0.448820127371 0.0;0.00337147206673 0.171712752439;-0.00118391503398 0.631275692785;-0.0317462545418 6.43327613853e-38;-0.000841560388315 0.732991208965;0.083695540095 3.36383949514e-253;-0.00267618290565 0.277981495803;-0.000719613317879 0.829162782236;-0.00193904227052 0.560956961832;-0.00275667474333 0.408470569979;0.00267622517958 0.59213072409;0.00939140291109 0.0600952911732;-0.000402923011717 0.935711854242;-0.0233664780173 2.70554059652e-21
DER_pt_h;-0.00088300823784 0.751084540481;-0.25693426994 0.0;-0.0253570264595 8.60036891839e-25;1.0 0.0;0.00524690735156 0.293544086777;0.00773780182783 0.12137129366;-0.0137290784204 0.00598621795677;-0.421736014792 0.0;0.384297261625 0.0;0.804656312684 0.0;0.12558283421 0.0;0.548935889466 0.0;-0.00104521404507 0.83426084323;0.359705846386 0.0;0.00720596260781 0.00348720251571;0.00496910607313 0.0439703162731;0.346645223198 0.0;0.0158568245445 1.28957567549e-10;-0.00399330205009 0.10549047454;0.605648960487 0.0;0.00817705010797 0.000916944999708;0.762956432972 0.0;0.641625242585 0.0;-0.00225129096667 0.499644957941;1.33972852202e-05 0.996794775679;0.00132348585981 0.691480838362;0.00026539097869 0.957629710576;-0.00740085744907 0.138449945635;0.00573020998607 0.251326871378;0.780305148 0.0
DER_deltaeta_jet_jet;-0.0110695794598 0.02668655921;0.00276349300536 0.580112074625;-0.001963323914 0.694293214256;0.00524690735156 0.293544086777;1.0 0.0;0.7189542989 0.0;-0.704837044764 0.0;-0.00739761212353 0.13862300857;0.000554969295883 0.91153818365;0.00739970636233 0.138511310386;0.000857490085553 0.863704972987;0.00350377632917 0.483041914551;0.50557772522 0.0;0.000858976963077 0.863470957183;-0.00455074273675 0.362289150125;0.0023237927904 0.641789960678;0.00263137580937 0.598351573847;-0.00411028557708 0.410601237929;0.00346310240691 0.488136416405;-0.000701718094888 0.888283895404;-0.00304149108161 0.542608333433;0.00417241061081 0.403564055961;0.00950057590486 0.0571776277138;0.0017600903744 0.724575488624;-0.000950508352901 0.849088912112;-0.0028276382665 0.571351464297;-0.0847927500671 7.51771356221e-65;-0.00783681121245 0.116679437915;0.00324997038888 0.515298958851;0.00779252451513 0.118760181009
DER_mass_jet_jet;-0.00938942899624 0.0601491598349;0.0015544367144 0.755663184047;0.00238446803765 0.633117082715;0.00773780182783 0.12137129366;0.7189542989 0.0;1.0 0.0;-0.621657393805 0.0;-0.00431953017871 0.387189746452;0.0059718266905 0.231890702318;0.00851376141601 0.0883083658678;4.49008975618e-05 0.99282819102;0.0119568659125 0.0166787240931;0.338347427046 0.0;0.00193033750374 0.699176724851;-0.00989916017999 0.0475074326857;0.00149026842968 0.765447488246;0.0056195492243 0.26059796863;-0.00100955766789 0.839836945844;0.00843313382453 0.0913636737765;0.00146647206547 0.769085557262;-0.00329593914164 0.509374843906;0.00751105466471 0.132671719915;0.0104698479348 0.0360819886095;0.00138511131985 0.781562264218;0.00235967940485 0.636654351192;-0.00169194724372 0.734829038629;0.413860812897 0.0;-0.00680153876304 0.173322044269;-0.0042638575836 0.393337843686;0.00817249633782 0.101825269104
DER_prodeta_jet_jet;0.00434144743258 0.38478552167;-0.00218947682404 0.661162332333;-0.00349732231379 0.483848362623;-0.0137290784204 0.00598621795677;-0.704837044764 0.0;-0.621657393805 0.0;1.0 0.0;0.006698073005 0.179955095886;-0.00788881409897 0.114272832384;-0.0127823722328 0.0104976605579;-0.00504325994971 0.312682235978;-0.00874368173406 0.0800459716694;-0.409251356005 0.0;-0.00562531171986 0.260109426648;0.0061694377432 0.216806971439;-0.00476553847166 0.340077475923;-0.0106584887498 0.0328616787591;-0.00301581908128 0.546020401402;-0.00609088373112 0.222716247138;-0.008530887141 0.087670127937;0.00189298548788 0.70472160024;-0.0101451947687 0.0422544652261;-0.0101574005008 0.0420071956205;-0.00796672728462 0.110740465256;0.000464392678093 0.925930450397;0.00730161469737 0.143817967386;-0.0406247095806 4.08670984655e-16;-0.00431097298047 0.3881309141;0.00365233037657 0.464682915805;-0.0112049343048 0.0248857763348
DER_deltar_tau_lep;-0.00329670133623 0.236293699452;0.0841388450588 7.0918520419e-256;0.65309570056 0.0;-0.421736014792 0.0;-0.00739761212353 0.13862300857;-0.00431953017871 0.387189746452;0.006698073005 0.179955095886;1.0 0.0;-0.136233028933 0.0;-0.299393087194 0.0;0.0903804153935 4.48148336671e-295;-0.141205616922 0.0;-0.00501068518309 0.315818088607;-0.11280902354 0.0;0.00239048024517 0.332521710181;-0.0107956935142 1.20626071739e-05;0.0472049639018 1.03556235041e-81;0.000202388283547 0.934612079832;-0.00283938044312 0.249723265782;-0.299128956964 0.0;-0.0015936098895 0.518270818201;-0.291680591242 0.0;-0.26779738701 0.0;-0.0016327096465 0.624440409821;-0.0012944074413 0.697921973507;-0.00181349774245 0.586595512515;-0.00245456898117 0.623159391606;0.00913115215811 0.0675508680606;-0.00932040796607 0.0620580843777;-0.335259036411 0.0
DER_pt_tot;0.00190414352726 0.493949803637;-0.0560404716851 2.00213699378e-114;0.0073933907675 0.00272515319874;0.384297261625 0.0;0.000554969295883 0.91153818365;0.0059718266905 0.231890702318;-0.00788881409897 0.114272832384;-0.136233028933 0.0;1.0 0.0;0.470863160412 0.0;0.0355017493986 5.47231536597e-47;0.250090895142 0.0;-0.00139074380773 0.780696665083;0.122632380288 0.0;0.00765066626523 0.00192575775891;0.00146960721508 0.551345415023;0.11789164882 0.0;0.0136503058057 3.13406314029e-08;-0.00501860468713 0.0419072878386;0.252378085786 0.0;0.00338149934293 0.170441699143;0.541773075615 0.0;0.432659038586 0.0;0.00023829825967 0.943036810425;0.000698174181404 0.834177406366;0.0061092169687 0.0669722100959;0.00614559453609 0.218588543387;-0.00509424397671 0.307815497691;-0.000746509364741 0.881204295817;0.494302979903 0.0
DER_sum_pt;0.00128196495106 0.645135894732;-0.132375357698 0.0;0.128450378741 0.0;0.804656312684 0.0;0.00739970636233 0.138511310386;0.00851376141601 0.0883083658678;-0.0127823722328 0.0104976605579;-0.299393087194 0.0;0.470863160412 0.0;1.0 0.0;0.143647102367 0.0;0.408725799562 0.0;-0.00441625133149 0.376648844656;0.451847738984 0.0;0.00716276156174 0.00368833252322;0.00220891905064 0.370548700136;0.455707381263 0.0;0.0140751364175 1.1564910457e-08;-0.00114151472248 0.643547913344;0.461130868138 0.0;0.00639757500499 0.00950166399043;0.901367344934 0.0;0.773817502354 0.0;-0.00106482783771 0.749508290784;0.00236911564184 0.477469602199;0.00146933541158 0.659517677664;0.00164360621035 0.742131842051;-0.00845663132056 0.0904646100046;0.00490237381416 0.32639279214;0.963005306497 0.0
